URL,Kód odpovědi,Chyba související se Zprávami,Zjištěno,Kategorie,Platforma,Naposledy procházeno
http://activate.etnetera.cz/wp-content/plugins/revslider/rs-plugin/videojs/,404,,4.9.14,Nenalezeno,Počítač,9.9.15
http://activate.etnetera.cz/novinky/53746-activate_life_140519_adobe_summit_2014_ohlednuti.html,404,,7.9.15,Nenalezeno,Počítač,16.9.15
http://activate.etnetera.cz/novinky/jak-presny-je-similar-web.html,404,,8.9.15,Nenalezeno,Počítač,12.9.15
http://activate.etnetera.cz/kolik-e-mailu-jsem-rozeslal-minuly-mesic/,404,,3.9.15,Nenalezeno,Počítač,3.9.15
http://activate.etnetera.cz/novinky/53728-activate_life_140515_jak_angazovanost_ovlivnuje_spam.html,404,,8.9.15,Nenalezeno,Počítač,12.9.15
http://activate.etnetera.cz/novinky/6-zasad-spravne-zakaznicke-podpory.html,404,,9.9.15,Nenalezeno,Počítač,11.9.15
http://activate.etnetera.cz/novinky/poznamky-konference-e-business-forum-2014.html,404,,5.9.15,Nenalezeno,Počítač,14.9.15
http://activate.etnetera.cz/novinky/53934-activate_life_140620_vylepsena_ecommerce_v_google_analytics.html,404,,6.9.15,Nenalezeno,Počítač,16.9.15
http://activate.etnetera.cz/novinky/mailchimp-me-zablokoval-jdu-pryc.html,404,,5.9.15,Nenalezeno,Počítač,14.9.15
http://activate.etnetera.cz/novinky/40736-activate_life_120910_tag_management.html,404,,6.9.15,Nenalezeno,Počítač,16.9.15
http://activate.etnetera.cz/novinky/55031-activate_life_140731_seznam_a_penalizace.html,404,,17.7.15,Nenalezeno,Počítač,15.9.15
http://activate.etnetera.cz/novinky/50281-activate_life_131120_banky_prizpusobte_weby-2.html,404,,9.9.15,Nenalezeno,Počítač,11.9.15
http://activate.etnetera.cz/novinky/cislo-tydne-50-odmen-si-delime-podle-sveho.html,404,,9.9.15,Nenalezeno,Počítač,17.9.15
http://activate.etnetera.cz/novinky/,404,,24.9.14,Nenalezeno,Počítač,16.9.15
http://activate.etnetera.cz/novinky/kolik-e-mailu-jsem-rozeslal-minuly-mesic.html,404,,10.9.15,Nenalezeno,Počítač,14.9.15
http://activate.etnetera.cz/o-nas/,404,,29.5.15,Nenalezeno,Počítač,6.9.15
