Body
Date,Weight,BMI,Fat
"2015-05-01","88","30.45","0"
"2015-05-02","88","30.45","0"
"2015-05-03","88","30.45","0"
"2015-05-04","88","30.45","0"
"2015-05-05","88","30.45","0"
"2015-05-06","88","30.45","0"
"2015-05-07","88","30.45","0"
"2015-05-08","88","30.45","0"
"2015-05-09","88","30.45","0"
"2015-05-10","88","30.45","0"
"2015-05-11","88","30.45","0"
"2015-05-12","88","30.45","0"
"2015-05-13","88","30.45","0"
"2015-05-14","88","30.45","0"
"2015-05-15","88","30.45","0"
"2015-05-16","88","30.45","0"
"2015-05-17","88","30.45","0"
"2015-05-18","88","30.45","0"
"2015-05-19","88","30.45","0"
"2015-05-20","88","30.45","0"
"2015-05-21","88","30.45","0"
"2015-05-22","88","30.45","0"
"2015-05-23","88","30.45","0"
"2015-05-24","88","30.45","0"
"2015-05-25","88","30.45","0"
"2015-05-26","88","30.45","0"
"2015-05-27","88","30.45","0"
"2015-05-28","88","30.45","0"
"2015-05-29","88","30.45","0"
"2015-05-30","88","30.45","0"
"2015-05-31","88","30.45","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2015-05-01","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-02","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-03","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-04","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-05","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-06","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-07","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-08","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-09","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-10","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-11","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-12","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-13","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-14","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-15","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-16","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-17","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-18","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-19","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-20","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-21","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-22","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-23","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-24","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-25","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-26","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-27","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-28","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-29","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-30","1,667","0","0","0","1,440","0","0","0","0"
"2015-05-31","1,667","0","0","0","1,440","0","0","0","0"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2015-05-01","0","0","0","0"
"2015-05-02","0","0","0","0"
"2015-05-03","0","0","0","0"
"2015-05-04","0","0","0","0"
"2015-05-05","0","0","0","0"
"2015-05-06","0","0","0","0"
"2015-05-07","0","0","0","0"
"2015-05-08","0","0","0","0"
"2015-05-09","0","0","0","0"
"2015-05-10","0","0","0","0"
"2015-05-11","0","0","0","0"
"2015-05-12","0","0","0","0"
"2015-05-13","0","0","0","0"
"2015-05-14","0","0","0","0"
"2015-05-15","0","0","0","0"
"2015-05-16","0","0","0","0"
"2015-05-17","0","0","0","0"
"2015-05-18","0","0","0","0"
"2015-05-19","0","0","0","0"
"2015-05-20","0","0","0","0"
"2015-05-21","0","0","0","0"
"2015-05-22","0","0","0","0"
"2015-05-23","0","0","0","0"
"2015-05-24","0","0","0","0"
"2015-05-25","0","0","0","0"
"2015-05-26","0","0","0","0"
"2015-05-27","0","0","0","0"
"2015-05-28","0","0","0","0"
"2015-05-29","0","0","0","0"
"2015-05-30","0","0","0","0"
"2015-05-31","0","0","0","0"

